option_code,cost_context,cost_basis,tree_size_category,planting_method,stock_size,tree_type,botanical_name,minimum_cost,maximum_cost,material_min_cost,material_max_cost,installation_min_cost,installation_max_cost,delivery_min_cost,delivery_max_cost,setup_min_cost,setup_max_cost,currency,gst_included,includes_installation,annual_maintenance_cost,source_name,source_reference,source_url,valid_from,valid_to,last_verified_at,confidence_level
backyard_tree_diy,melbourne_residential_supply_only,per_tree,small,diy,200mm_to_300mm,Ficus Hillii Flash,Ficus microcarpa var. hillii 'Flash',25.00,85.00,25.00,85.00,,,,,,,AUD,,false,,Plants Melbourne Nursery,"Ficus Hillii Flash advertised at $25 (200 mm), $49.99 (250 mm) and $85 (300 mm); pickup/delivery, soil, stakes and resident labour excluded.",https://plantsmelb.com/store/page/2/,2026-08-26,2026-11-26,2026-09-05T12:00:00+10:00,high
backyard_tree_installed,melbourne_residential_standard_access,per_tree,small,professional_standard_access,200mm_to_300mm,Ficus Hillii Flash,Ficus microcarpa var. hillii 'Flash',109.00,169.00,25.00,85.00,84.00,84.00,,,,,AUD,,true,,Composite - Plants Melbourne Nursery and Landscaping for Melbourne,"Derived scenario: one Plants Melbourne 200-300 mm Ficus ($25-$85) plus one advertised Melbourne landscaping hour ($84). Assumes a prepared, accessible site; excludes delivery, permits, difficult access and extra materials. Plant source: https://plantsmelb.com/store/page/2/",https://landscapingformelbourne.com/pricing/,2026-08-26,2026-11-26,2026-09-05T12:00:00+10:00,medium
backyard_tree_diy,melbourne_residential_supply_only,per_tree,small,diy,retailer_variant_not_standardised,Mandarin Emperor Dwarf,Citrus reticulata 'Emperor' (dwarf),59.00,59.00,59.00,59.00,,,,,,,AUD,,false,,Diaco's Garden Nursery,"Mandarin Emperor Dwarf advertised at $59. Supply only; delivery, soil, stakes, fertiliser and resident labour excluded. Online and in-store prices and seasonal availability may vary.",https://diacos.com.au/product/mandarin-emperor-dwarf/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,high
backyard_tree_installed,melbourne_residential_standard_access,per_tree,small,professional_standard_access,retailer_variant_not_standardised,Mandarin Emperor Dwarf,Citrus reticulata 'Emperor' (dwarf),143.00,143.00,59.00,59.00,84.00,84.00,,,,,AUD,,true,,Composite - Diaco's Garden Nursery and Landscaping for Melbourne,"Indicative planting scenario: one $59 Mandarin Emperor Dwarf plus one advertised Melbourne landscaping hour at $84. Assumes a prepared accessible site; excludes delivery, soil improvement, permits and extra materials. Plant source: https://diacos.com.au/product/mandarin-emperor-dwarf/",https://landscapingformelbourne.com/pricing/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,medium
backyard_tree_diy,melbourne_residential_supply_only,per_tree,small,diy,retailer_variant_not_standardised,Lemon Lisbon Dwarf,Citrus limon 'Lisbon' (dwarf),59.00,59.00,59.00,59.00,,,,,,,AUD,,false,,Diaco's Garden Nursery,"Lemon Lisbon Dwarf advertised at $59. Supply only; delivery, soil, stakes, fertiliser and resident labour excluded. Online and in-store prices and seasonal availability may vary.",https://diacos.com.au/fruit-trees/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,high
backyard_tree_installed,melbourne_residential_standard_access,per_tree,small,professional_standard_access,retailer_variant_not_standardised,Lemon Lisbon Dwarf,Citrus limon 'Lisbon' (dwarf),143.00,143.00,59.00,59.00,84.00,84.00,,,,,AUD,,true,,Composite - Diaco's Garden Nursery and Landscaping for Melbourne,"Indicative planting scenario: one $59 Lemon Lisbon Dwarf plus one advertised Melbourne landscaping hour at $84. Assumes a prepared accessible site; excludes delivery, soil improvement, permits and extra materials. Plant source: https://diacos.com.au/fruit-trees/",https://landscapingformelbourne.com/pricing/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,medium
backyard_tree_diy,melbourne_residential_supply_only,per_tree,small,diy,retailer_variant_not_standardised,Mediterranean Sweet Orange Dwarf,Citrus sinensis (dwarf),59.00,59.00,59.00,59.00,,,,,,,AUD,,false,,Diaco's Garden Nursery,"Mediterranean Sweet Orange Dwarf advertised at $59. Supply only; delivery, soil, stakes, fertiliser and resident labour excluded. Online and in-store prices and seasonal availability may vary.",https://diacos.com.au/fruit-trees/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,high
backyard_tree_installed,melbourne_residential_standard_access,per_tree,small,professional_standard_access,retailer_variant_not_standardised,Mediterranean Sweet Orange Dwarf,Citrus sinensis (dwarf),143.00,143.00,59.00,59.00,84.00,84.00,,,,,AUD,,true,,Composite - Diaco's Garden Nursery and Landscaping for Melbourne,"Indicative planting scenario: one $59 Mediterranean Sweet Orange Dwarf plus one advertised Melbourne landscaping hour at $84. Assumes a prepared accessible site; excludes delivery, soil improvement, permits and extra materials. Plant source: https://diacos.com.au/fruit-trees/",https://landscapingformelbourne.com/pricing/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,medium
backyard_tree_diy,melbourne_residential_supply_only,per_tree,large,diy,retailer_variant_not_standardised,Chinese Elm,Ulmus parvifolia,41.95,169.95,41.95,169.95,,,,,,,AUD,,false,,Diaco's Garden Nursery,"Chinese Elm advertised at $41.95-$169.95 depending on stock variant. Supply only; delivery, soil, stakes and resident labour excluded. The source describes it as a large tree for larger gardens.",https://diacos.com.au/product-category/plants/ornamental-trees/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,high
backyard_tree_installed,melbourne_residential_standard_access,per_tree,large,professional_standard_access,retailer_variant_not_standardised,Chinese Elm,Ulmus parvifolia,125.95,253.95,41.95,169.95,84.00,84.00,,,,,AUD,,true,,Composite - Diaco's Garden Nursery and Landscaping for Melbourne,"Indicative planting scenario: one Chinese Elm at $41.95-$169.95 plus one advertised Melbourne landscaping hour at $84. Assumes a prepared accessible site; excludes delivery, permits, difficult access and extra materials. Plant source: https://diacos.com.au/product-category/plants/ornamental-trees/",https://landscapingformelbourne.com/pricing/,2026-09-05,2026-12-04,2026-09-05T12:00:00+10:00,medium
