source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Acacia pendula,Weeping Myall,small,,6,,6,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Agonis flexuosa,Willow Myrtle,small,,6,,6,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Angophora hispida,Dwarf Apple,small,,6,,5,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Callistemon 'Kings Park Special',Bottle Brush,small,,4,,4,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Callistemon salignus,White Bottle Brush,small,,6,,3,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Eucalyptus mannifera 'Little Spotty',Little Spotty,small,,6,,5,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Melaleuca linariifolia,Snow in Summer,small,,6,,5,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Tristaniopsis laurina,Water Gum,small,,5,,4,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Arbutus unedo,Irish Strawberry,small,,6,,5,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
Brimbank Tree Policy August 2021 - Appendix 1 Preferred List of Species,Brimbank City Council,308,BRIMBANK CITY,Lagerstroemia hybrids,Crepe Myrtle,small,,5,,3,,,,,"Preferred street-tree species. Council must confirm nature-strip width, overhead and underground services, powerline clearance and any WSUD requirement.",approval_required,2021-08-01,,https://serviceapi.brimbank.vic.gov.au/CMServiceAPI/Record/5120610/file/document,Copyright Brimbank City Council; no open licence stated - reuse permission/review required,"Council preferred list for public street-tree planting, not permission for a resident to plant on public land or a guarantee of private-site suitability. Final selection depends on site constraints and Council approval. Mature dimensions are council estimates; obvious typographic variants in the published table have been normalised."
