source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acacia implexa,Lightwood,small,8,8,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acacia pycnantha,Golden Wattle,small,6,6,4,4,12,,,,"Council Type A private-landscape tree; provide at least 12 m2 deep-soil area and a minimum soil-plan dimension of 2.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acer buergerianum,Trident Maple,small,6,6,6,6,25,,,,"Council Type A private-landscape tree; provide at least 25 m2 deep-soil area and a minimum soil-plan dimension of 3.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Agonis flexuosa,Willow Myrtle,small,10,10,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Banksia integrifolia,Coast Banksia,small,15,15,6,6,25,,,,"Council Type A private-landscape tree; provide at least 25 m2 deep-soil area and a minimum soil-plan dimension of 3.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Callistemon viminalis,Weeping Bottlebrush,small,6,6,4,4,12,,,,"Council Type A private-landscape tree; provide at least 12 m2 deep-soil area and a minimum soil-plan dimension of 2.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Corymbia eximia 'Nana',Dwarf Yellow Bloodwood,small,7,7,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus leucoxylon 'Rosea',Red-flowering Yellow Gum,small,12,12,7,7,36,,,,"Council Type A private-landscape tree; provide at least 36 m2 deep-soil area and a minimum soil-plan dimension of 4 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus mannifera 'Little Spotty',Little Spotty,small,7,7,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus polyanthemos,Red Box,small,12,12,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
