source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Agonis 'Burgundy',,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Angophora hispida,,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Arbutus x andrachnoides,,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Callistemon viminalis 'KPS',,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Eucalyptus phoenicea,,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Lagerstroemia indica,,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Prunus cerasifera 'Nigra',,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Pyrus calleryana 'Capital',,small,,,,,,,,,"Council street-tree matrix category: Small. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Acer monspessulanum,,medium,,,,,,,,,"Council street-tree matrix category: Small-Medium or Medium. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
Street tree species in Hobsons Bay,Hobsons Bay City Council,331,HOBSONS BAY CITY,Agonis flexuosa,,medium,,,,,,,,,"Council street-tree matrix category: Small-Medium or Medium. Council assesses soil, wind and salt exposure, infrastructure, neighbourhood character, available space, nutrients and future-climate suitability.",approval_required,2026-09-13,,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-tree-removals-and-requests/Street-tree-species-in-Hobsons-Bay,Copyright Hobsons Bay City Council; no open licence stated - reuse permission/review required,"Official matrix for Council street-tree planting, not permission for residents to plant on public land or private-property advice. It supplies broad space categories but not species-specific mature dimensions. Small-Medium is mapped to medium and Reserve only to large solely for the three-class contract. Effective date is not stated; 2026-09-13 is the retrieval/version date."
