source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Acacia pendula,Weeping Myall,small,,6,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Agonis flexuosa 'Burgundy',Burgundy Willow Myrtle,small,,6,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Agonis flexuosa 'Jervis Bay After Dark',After Dark Willow Myrtle,small,,6,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Callistemon viminalis,Weeping Bottlebrush,small,,5,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Hakea petiolaris,Sea Urchin Hakea,small,4,5,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Lagerstroemia hybrids,Crepe Myrtle,small,6,8,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Malus ioensis 'Plena',Ornamental Apple,small,4,5,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Prunus x blireana,Double Flowering Plum,small,4,6,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Robinia pseudoacacia 'Inermis',Mop Top Robinia,small,3,5,2,3,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment. Do not plant this species within creek buffers or other environmentally sensitive areas because the council identifies weed potential or a tendency to sucker.",conditional,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Eucalyptus macrandra,River Yate,small,3,6,,6,,,natural rainfall after establishment,,"Council source category: very small (up to 6 m high and up to 6 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
