council,status,source_name,source_url,licence,reason,checked_on
Banyule City Council,not_added_no_verified_open_row_dataset,,,,Council describes an internal public-tree inventory but no official openly licensed row-level download was verified,2026-09-14
Bayside City Council,not_added_no_verified_open_row_dataset,Bayside Trees removal-only survey view,https://www.arcgis.com/home/item.html?id=4ed40d1e327942f5973e66e038ec64a0,Not specified,The public service has three removal-only layers with narrow spatial coverage and no confirmed council attribution or reuse licence; it is not the council's comprehensive inventory,2026-09-14
Boroondara City Council,not_added_partial_only,Significant Tree,https://data.gov.au/data/dataset/14e2b87e-c733-4071-b604-c0cb33d14a42,Creative Commons Attribution 3.0 Australia,The open source contains 314 significant-tree groups rather than a comprehensive one-row-per-tree council inventory,2026-09-14
Brimbank City Council,integrated,Brimbank Street Trees,https://www.data.gov.au/data/dataset/brimbank-street-trees,Creative Commons Attribution 2.5 Australia,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Cardinia Shire Council,not_added_partial_only,SignificantTrees09-21,https://www.arcgis.com/home/item.html?id=568d237348784fe2b1aff94d26c45f48,Not specified,The public council-owned service contains significant trees only and provides no confirmed open reuse licence; it is not a comprehensive council tree inventory,2026-09-14
Casey City Council,integrated,City of Casey owned Trees,https://data.casey.vic.gov.au/explore/dataset/council_trees_pt_t1eam/,Creative Commons Attribution 3.0,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Darebin City Council,not_added_no_verified_open_row_dataset,,,,Council material confirms an internal inventory but no official openly licensed row-level download was verified,2026-09-14
Frankston City Council,not_added_no_verified_open_row_dataset,,,,Council reports an internal street-tree inventory but no official openly licensed row-level download was verified,2026-09-14
Glen Eira City Council,integrated,Park and Street Trees,https://data.gov.au/data/dataset/ed15e3ea-48dc-47d2-afa6-518e6f5276e1,Creative Commons Attribution 2.5 Australia,Official GeoJSON supplies identifiers names DBH height spread location type and coordinates,2026-09-14
Greater Dandenong City Council,not_added_no_verified_open_row_dataset,Greening Our City Urban Tree Strategy 2018-2028,https://www.greaterdandenong.vic.gov.au/_flysystem/filerepo?file=A4829036,Not a row-level data licence,"The strategy confirms a 55,276-tree inventory in council asset and GIS systems but no official openly licensed row-level download was verified",2026-09-14
Hobsons Bay City Council,integrated,Street and Park Trees in Hobsons Bay City Council,https://data.gov.au/data/dataset/80051ffe-04d5-4602-b15b-60e0d0e3d153,Creative Commons Attribution 2.5 Australia,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Hume City Council,not_added_reuse_restricted,Hume City Council - Trees (Points) Jul 2015,https://data.gov.au/data/dataset/10bf74af-e4e1-4213-a0de-b921f10e0168,CC-BY-NC-4.0,The identified AURIN extract is old and non-commercially licensed rather than unrestricted open reuse,2026-09-14
Kingston City Council,not_added_no_verified_open_row_dataset,,,,Council material confirms tree management but no official openly licensed row-level download was verified,2026-09-14
Knox City Council,not_added_no_verified_open_row_dataset,,,,No official openly licensed row-level council tree download was verified,2026-09-14
Manningham City Council,integrated,Manningham Street Trees,https://data.gov.au/data/dataset/1aef5123-24ff-4084-a0f1-a52ca71e9e99,Creative Commons Attribution 3.0 Australia,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Maribyrnong City Council,not_added_partial_only,Maribyrnong Significant Tree Register 2021,https://www.maribyrnong.vic.gov.au/Building-and-Planning/Planning-Services/Current-and-future-planning/Significant-Tree-Register,,The published register is a small significant-tree subset and is not offered as an openly licensed row-level spatial inventory,2026-09-14
Maroondah City Council,not_added_no_verified_open_row_dataset,,,,Council reports an internal street-tree inventory but no official openly licensed row-level download was verified,2026-09-14
Melbourne City Council,integrated,"Trees, with species and dimensions (Urban Forest)",https://data.melbourne.vic.gov.au/explore/dataset/trees-with-species-and-dimensions-urban-forest/,Creative Commons Attribution,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Melton City Council,not_added_no_verified_open_row_dataset,Electric Line Clearance Management Plan 2021-2027,https://www.melton.vic.gov.au/files/assets/public/v/7/council/publications/documentsreportsstrategies/plans/2021-2027-electric-line-clearance-management-plan-updated-16-oct-24.pdf,Not a row-level data licence,The plan confirms an internal inventory limited to street trees in the declared powerline area; no comprehensive openly licensed row-level download was verified,2026-09-14
Monash City Council,not_added_no_verified_open_row_dataset,,,,Council reports extensive public-tree management but no official openly licensed row-level download was verified,2026-09-14
Moonee Valley City Council,not_added_no_verified_open_row_dataset,,,,Council uses an internal asset inventory but no official openly licensed row-level download was verified,2026-09-14
Merri-bek City Council,not_added_partial_only,Merri-bek Significant Tree Register,https://conversations.merri-bek.vic.gov.au/significant-tree-register,Not specified,The public register covers a selected significant-tree subset rather than all council trees and no open row-level reuse licence was verified,2026-09-14
Mornington Peninsula Shire Council,not_added_no_verified_open_row_dataset,Our Urban Forest Strategy,https://www.mornpen.vic.gov.au/files/assets/public/v/1/new-website-documents/environment/climate-change/docs/our-urban-forest-strategy.pdf,Not a row-level data licence,The strategy scheduled development of a comprehensive inventory for 2025 but no official openly licensed row-level download was verified,2026-09-14
Nillumbik Shire Council,not_added_no_verified_open_row_dataset,Nillumbik Tree Management Guidelines 2018,https://www.nillumbik.vic.gov.au/files/assets/public/v/1/council/news-and-publications/strategies-policies-plans/nillumbik-tree-management-guidelines-2018.pdf,Not a row-level data licence,The guidelines state a complete maintained Shire inventory was not practical and describe building records from inspected high-use and heritage trees; no open comprehensive download was verified,2026-09-14
Port Phillip City Council,integrated,City of Port Phillip Trees,https://data.gov.au/data/dataset/city-of-port-phillip-trees,Creative Commons Attribution 2.5 Australia,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Stonnington City Council,not_added_no_verified_open_row_dataset,,,,Council reports an internal continuously updated inventory but no official openly licensed row-level download was verified,2026-09-14
Whitehorse City Council,not_added_no_verified_open_row_dataset,,,,Council reports an internal inventory upgrade but no official openly licensed row-level download was verified,2026-09-14
Whittlesea City Council,not_added_no_verified_open_row_dataset,Greening Our Streets street tree management plan,https://www.whittlesea.vic.gov.au/files/assets/public/v/2/documents/environment/trees-and-plants/whittlesea-street-tree-management-plan.pdf,Not a row-level data licence,The plan confirms a dynamic inventory integrated into council GIS but no official openly licensed row-level download was verified,2026-09-14
Wyndham City Council,integrated,Wyndham Tree and latest inspection data,https://data.gov.au/data/dataset/wyndham-tree-and-latest-inpection-data,Creative Commons Attribution 2.5 Australia,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Yarra City Council,integrated,City of Yarra street and park trees,https://data.gov.au/data/dataset/f3c88ce7-504b-4ef7-907f-686037f7420c,Creative Commons Attribution 4.0 International,Official row-level council tree inventory is supported by the ingestion pipeline,2026-09-14
Yarra Ranges Shire Council,not_added_no_verified_open_row_dataset,,,,Council material confirms tree management but no official openly licensed row-level download was verified,2026-09-14
