catalogue_name,priced_identity,match_method,taxon_verification_url,reviewed_at,limitation
Acer Xfreemanii,Acer x freemanii,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Acer campestre 'Queen Elizabeth',Acer campestre,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Acer freemanii 'jeffersred',Acer freemanii,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Acer negundo-Box Elder,Acer negundo,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Acer platanoides 'Emerald Lustre',Acer platanoides,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Acer saccharinum-Silver Maple,Acer saccharinum,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Atlantic Cedar,Cedrus atlantica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Banksia integrifolia fastigiata Ÿ??SentinelŸ??,Banksia integrifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Betula utilis jacquemintii,Betula utilis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Black Matipo,Pittosporum tenuifolium,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Black Poplar,Populus nigra,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Brachychiton bidwillii x B. discolor,Brachychiton bidwillii,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Brachychiton populneus x acerifolious 'Bella Pink',Brachychiton populneus,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Callistemon citrinus x viminalis 'Harkness',Callistemon citrinus,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Callistemon viminalis 'KPS',Callistemon viminalis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Camellia japonica 'Versicolor',Camellia japonica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Carpinus betulus 'Fastigata',Carpinus betulus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Catalpa bignonioides 'Aurea',Catalpa bignonioides,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Catalpa bignonoides,Catalpa bignonioides,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Cedrus atlantica f glauca,Cedrus atlantica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Cedrus atlantica f. glauca,Cedrus atlantica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Chamaecyparis psifera,Chamaecyparis pisifera,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Citrus Xlimon,Citrus limon,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Citrus Xparadisi,Citrus x paradisi,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Common Alder,Alnus cordata,unique_exact_catalogue_label,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Common Fig,Ficus carica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Corymbia citriodora 'Dwarf',Corymbia citriodora,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Corymbia maculata 'Little Mac',Corymbia maculata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Cupressus macrocarpa 'Saligna Aurea',Cupressus macrocarpa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Cupressus sempervirens 'aurea',Cupressus sempervirens,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Dodonaea viscosa subsp. cuneata,Dodonaea viscosa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Dodonaea viscosa subsp. spatulata,Dodonaea viscosa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Dodonea viscosa 'Purpurea',Dodonea viscosa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Dodonea viscosa Purpurea,Dodonea viscosa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
English Hawthorn,Crataegus laevigata,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
English Holly,Ilex aquifolium,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus camaldulensis var. obtusa,Eucalyptus camaldulensis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus cladocalix 'Nana',Eucalyptus cladocalyx 'nana',reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus globulus 'Compacta',Eucalyptus globulus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus globulus subsp. maidenii,Eucalyptus globulus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon 'Conata',Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon 'Eukie Dwarf',Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon 'Scarlet',Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon Canata,Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon megaloca,Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon var. rosea,Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus leucoxylon-Dwarf,Eucalyptus leucoxylon,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus mannifera Ltle Spot,Eucalyptus mannifera,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus ovata subsp. ovata,Eucalyptus ovata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus pauciflora subsp pa,Eucalyptus pauciflora,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus pauciflora subsp paucif,Eucalyptus pauciflora,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus pauciflora subsp. parvifructa,Eucalyptus pauciflora,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus platypus var. heterophylla,Eucalyptus platypus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus torquata x E. woodwardii 'Torwood',Eucalyptus torquata,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus tricarpa (sideroxylon),Eucalyptus tricarpa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Euonymus japonicus 'Aureovariegatus',Euonymus japonicus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ficus rubiginosa 'Variegatum',Ficus rubiginosa,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus americana 'Appldell',Fraxinus americana,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus americana 'Chamdell',Fraxinus americana,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus americana var. appldell autumn applause,Fraxinus americana,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus angustifolia subsp. angustifol,Fraxinus angustifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus angustifolia subsp. angustifolia,Fraxinus angustifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus angustifolia subsp. oxycarpa,Fraxinus angustifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus angustifolia subsp. oxycarpa 'Raywood',Fraxinus angustifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
