scientific_name,match_basis,supplier,product_name,stock_size,price_min_aud,price_max_aud,availability_status,size_price_mapping_status,supplier_url,verification_date,match_location,taxon_verification_url,source_freshness,proposed_valid_to,review_status
Acacia aneura,exact_catalogue_name,GrowAbility Nursery via HortOS,Acacia aneura,Tube,4.09,4.09,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-aneura,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia aneura,exact_catalogue_name,Tulla Natives via HortOS,Acacia aneura,Tube,4.25,4.25,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-aneura,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia aneura,exact_catalogue_name,Westgrow Farm Trees via HortOS,Acacia aneura,Forestry tube,22.73,22.73,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-aneura,2026-09-18,exact_hortos_botanical_name,,12 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia calamifolia,exact_catalogue_name,GrowAbility Nursery via HortOS,Acacia calamifolia,Tube,4.09,4.09,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-calamifolia,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia kettlewelliae,exact_catalogue_name,Monaro Native Tree Nursery via HortOS,Acacia kettlewelliae,Hiko,1.80,1.80,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-kettlewelliae,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Brush Turkey Enterprises via HortOS,Acacia maidenii,Tube,2.00,2.00,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Kumbartcho Nursery via HortOS,Acacia maidenii,Tube,1.55,1.55,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Logans Nursery via HortOS,Acacia maidenii,Tube,2.00,2.00,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Noosa and District Landcare Group Inc via HortOS,Acacia maidenii,Tube,2.00,2.00,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Paten Park Native Nursery via HortOS,Acacia maidenii,Tube,3.00,3.00,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,12 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Regen Australia via HortOS,Acacia maidenii,Tube,2.24,2.24,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia maidenii,exact_catalogue_name,Wallum Nurseries via HortOS,Acacia maidenii,Tube,2.25,2.25,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-maidenii,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia prominens,exact_catalogue_name,Apunga Native Nursery via HortOS,Acacia prominens,Tube,2.50,2.50,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-prominens,2026-09-18,exact_hortos_botanical_name,,6 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia provincialis (retinodes),species_or_cultivar_listing,Birds in the Bush Indigenous Plant Nursery via HortOS,Acacia provincialis,Tube,1.82,1.82,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-provincialis,2026-09-18,exact_gbif_species_alias,https://www.gbif.org/species/2979750,12 days ago,2026-10-18,loaded_exact_species_and_size_price
Acacia provincialis (retinodes),species_or_cultivar_listing,ecoDynamics SA via HortOS,Acacia provincialis,Hiko,1.15,1.15,available,exact_listed_size_price,https://au.hortosapp.com/plants/acacia-provincialis,2026-09-18,exact_gbif_species_alias,https://www.gbif.org/species/2979750,6 days ago,2026-10-18,loaded_exact_species_and_size_price
